,new_part_id,participant_id,group_num,background,complexity,min_hotspots,max_hotspots,min_circles,max_circles,kernel,bandwidth,distance,k,b,d
159,42,52,1,none,3,7,11,6,10,gaussian,0.005,euclidean,0,0,0
160,43,53,3,professional,3,20,40,18,32,gaussian,0.005,euclidean,0,0,0
161,44,54,1,none,3,3,15,3,15,gaussian,0.005,euclidean,0,0,0
162,45,55,1,none,3,0,0,2,6,gaussian,0.005,euclidean,0,0,0
163,46,56,1,none,3,27,30,27,30,gaussian,0.005,euclidean,0,0,0
164,47,57,1,none,3,3,5,3,4,gaussian,0.005,euclidean,0,0,0
165,48,58,1,none,3,20,45,20,35,gaussian,0.005,euclidean,0,0,0
166,49,59,3,professional,3,8,15,50,60,gaussian,0.005,euclidean,0,0,0
167,50,60,3,professional,3,6,8,30,38,gaussian,0.005,euclidean,0,0,0
168,51,61,3,professional,3,18,33,19,36,gaussian,0.005,euclidean,0,0,0
169,52,62,3,professional,3,10,15,15,20,gaussian,0.005,euclidean,0,0,0
170,53,64,2,tech,3,15,22,8,12,gaussian,0.0075,manhattan,0,1,1
171,54,65,2,tech,3,5,30,5,15,gaussian,0.0025,euclidean,0,1,0
172,55,63,1,none,3,90,120,80,100,gaussian,0.005,manhattan,0,0,1
173,56,66,2,tech,3,35,50,25,40,gaussian,0.005,euclidean,0,0,0
174,57,67,1,none,3,7,12,15,25,gaussian,0.005,euclidean,0,0,0
175,58,68,2,tech,3,70,100,60,115,tophat,0.01,chebyshev,1,1,1
176,59,69,2,tech,3,3,6,8,13,gaussian,0.005,euclidean,0,0,0
177,60,70,2,tech,1,6,12,11,15,gaussian,0.005,euclidean,0,0,0
178,60,70,2,tech,2,12,19,6,15,tophat,0.005,manhattan,1,0,1
179,60,70,2,tech,3,5,8,5,13,gaussian,0.005,euclidean,0,0,0
